ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Hidden_Customer_Category,Segmentation
459709.0,Female,Yes,47.0,Yes,Engineer,7.0,Average,4.0,Cat_6,B
467585.0,Male,Yes,40.0,Yes,Executive,6.0,High,2.0,Cat_6,B
465550.0,Female,No,30.0,,Homemaker,1.0,Low,6.0,Cat_3,D
462765.0,Female,Yes,50.0,Yes,Engineer,1.0,High,8.0,Cat_6,B
467354.0,Male,Yes,61.0,Yes,Executive,3.0,Low,2.0,Cat_6,C
460240.0,Male,Yes,45.0,Yes,Engineer,3.0,Low,1.0,Cat_6,C
461379.0,Male,No,31.0,Yes,Lawyer,0.0,Low,3.0,Cat_5,C
466009.0,Female,No,32.0,No,Engineer,10.0,Low,5.0,Cat_6,B
464798.0,Male,Yes,52.0,Yes,Engineer,1.0,Average,5.0,Cat_4,B
467461.0,Female,Yes,45.0,Yes,Athlete,8.0,High,3.0,Cat_6,B
462373.0,Male,Yes,36.0,Yes,Homemaker,9.0,High,3.0,Cat_6,B
462390.0,Female,No,28.0,No,Homemaker,0.0,Low,4.0,Cat_3,D
462988.0,Female,Yes,27.0,Yes,Engineer,9.0,High,2.0,Cat_6,A
460682.0,Male,Yes,43.0,No,Engineer,6.0,Low,2.0,Cat_3,B
459852.0,Male,No,40.0,Yes,Engineer,7.0,Low,1.0,Cat_6,B
461768.0,Male,Yes,69.0,Yes,Doctor,0.0,High,2.0,Cat_6,C
464079.0,Female,Yes,36.0,No,Homemaker,14.0,Average,2.0,Cat_6,C
462943.0,Male,Yes,61.0,Yes,Engineer,5.0,High,2.0,Cat_6,B
459601.0,Female,No,,No,Executive,1.0,Low,2.0,Cat_7,C
465237.0,Male,Yes,68.0,Yes,Doctor,1.0,High,2.0,Cat_6,B
467461.0,Female,Yes,45.0,Yes,Teacher,8.0,High,3.0,Cat_6,B
462836.0,Male,No,19.0,No,Executive,,Low,3.0,Cat_6,C
461688.0,Male,Yes,41.0,Yes,Engineer,7.0,High,2.0,Cat_6,A
460660.0,Male,No,41.0,Yes,Teacher,6.0,Low,1.0,Cat_6,C
460689.0,Male,Yes,41.0,Yes,Teacher,6.0,High,2.0,Cat_3,B
463476.0,Male,Yes,53.0,Yes,Teacher,3.0,Average,3.0,Cat_6,C
460167.0,Female,No,18.0,No,Homemaker,1.0,High,5.0,Cat_2,C
459522.0,Male,Yes,47.0,Yes,Engineer,1.0,Average,4.0,Cat_6,C
463532.0,Male,Yes,67.0,Yes,Lawyer,9.0,Low,3.0,Cat_6,C
466335.0,Female,No,28.0,No,Athlete,0.0,Low,3.0,Cat_4,D
467159.0,Male,Yes,,Yes,Engineer,8.0,High,2.0,Cat_6,B
461810.0,Female,Yes,62.0,Yes,Engineer,1.0,Low,1.0,Cat_2,C
463163.0,Male,No,26.0,No,Artist,2.0,Low,2.0,Cat_3,C
464554.0,Female,No,35.0,Yes,Executive,0.0,Low,7.0,Cat_2,C
466360.0,Male,No,25.0,No,Athlete,0.0,Low,3.0,Cat_4,D
465067.0,Male,Yes,62.0,Yes,Executive,8.0,High,2.0,Cat_6,A
465797.0,Male,Yes,36.0,Yes,Entertainment,1.0,Average,2.0,Cat_2,C
463860.0,Male,Yes,39.0,Yes,Executive,0.0,High,3.0,Cat_6,B
466949.0,Male,Yes,39.0,No,Engineer,12.0,High,7.0,Cat_6,A
462092.0,Female,Yes,35.0,Yes,Engineer,7.0,Average,4.0,Cat_6,B
466485.0,Male,Yes,37.0,Yes,Teacher,9.0,High,2.0,Cat_3,B
461826.0,Male,Yes,35.0,Yes,Engineer,12.0,Average,2.0,Cat_6,B
459692.0,Female,Yes,71.0,Yes,Teacher,8.0,High,2.0,Cat_6,A
463316.0,Female,Yes,89.0,No,Executive,0.0,High,2.0,Cat_6,B
462999.0,Female,Yes,29.0,No,Artist,0.0,High,4.0,Cat_6,D
463699.0,Female,Yes,41.0,Yes,Lawyer,9.0,Low,3.0,Cat_6,B
467492.0,Male,Yes,57.0,Yes,Engineer,1.0,Low,2.0,Cat_7,C
459162.0,Female,Yes,85.0,Yes,Artist,0.0,High,2.0,Cat_6,C
459491.0,Female,Yes,39.0,Yes,Engineer,1.0,High,4.0,Cat_6,B
465769.0,Male,No,25.0,Yes,Homemaker,9.0,Low,4.0,Cat_6,C
463657.0,Male,Yes,42.0,Yes,Doctor,0.0,High,2.0,Cat_6,B
465198.0,Male,Yes,53.0,Yes,Engineer,8.0,Average,4.0,Cat_6,B
466956.0,Male,Yes,55.0,Yes,Entertainment,1.0,Low,1.0,Cat_6,D
465532.0,Female,Yes,37.0,Yes,Doctor,6.0,Average,3.0,Cat_4,B
463693.0,Male,Yes,35.0,Yes,Engineer,9.0,High,3.0,Cat_6,B
466974.0,Female,Yes,35.0,Yes,Homemaker,8.0,Average,2.0,Cat_6,C
464420.0,Female,Yes,60.0,Yes,Engineer,8.0,High,2.0,Cat_6,A
466508.0,Female,Yes,40.0,Yes,Homemaker,9.0,Average,5.0,Cat_6,B
462571.0,Male,Yes,50.0,Yes,Engineer,1.0,High,1.0,Cat_6,B
467207.0,Female,No,27.0,Yes,Engineer,8.0,Low,1.0,Cat_6,B
463011.0,Female,Yes,81.0,Yes,Engineer,0.0,High,2.0,Cat_6,B
466975.0,Male,Yes,51.0,Yes,Teacher,0.0,Average,2.0,Cat_6,C
463791.0,Female,No,28.0,Yes,Doctor,7.0,Low,1.0,Cat_6,B
464247.0,Male,Yes,59.0,No,Lawyer,0.0,Low,1.0,Cat_6,D
467820.0,Male,Yes,51.0,Yes,Homemaker,0.0,Low,1.0,Cat_3,D
461503.0,Female,No,31.0,Yes,Homemaker,9.0,Low,2.0,Cat_6,D
463683.0,Female,Yes,39.0,Yes,Engineer,14.0,Average,2.0,Cat_6,B
463571.0,Female,No,32.0,Yes,Engineer,0.0,Low,3.0,Cat_2,C
463441.0,Male,Yes,42.0,Yes,Homemaker,8.0,High,4.0,Cat_6,B
460940.0,Male,Yes,73.0,Yes,Artist,0.0,Low,1.0,Cat_6,D
465353.0,Male,Yes,73.0,Yes,Doctor,1.0,High,2.0,Cat_6,B
464198.0,Male,Yes,49.0,Yes,Doctor,1.0,High,2.0,Cat_6,B
464233.0,Female,Yes,48.0,Yes,Entertainment,1.0,Average,2.0,Cat_6,C
459309.0,Female,Yes,41.0,Yes,Artist,9.0,High,2.0,Cat_2,B
459803.0,Male,No,39.0,Yes,Engineer,4.0,High,3.0,Cat_6,B
466999.0,Male,No,,Yes,Artist,1.0,Low,3.0,Cat_6,D
467700.0,Male,Yes,57.0,Yes,Engineer,1.0,Average,2.0,Cat_6,B
460100.0,Female,No,29.0,Yes,Teacher,,Low,1.0,Cat_3,D
463962.0,Female,Yes,35.0,Yes,Engineer,12.0,Low,2.0,Cat_6,C
465595.0,Female,No,38.0,No,Doctor,0.0,Low,3.0,Cat_4,C
460170.0,Male,Yes,68.0,No,Lawyer,0.0,Low,1.0,Cat_6,D
466201.0,Male,Yes,42.0,Yes,Engineer,1.0,Average,5.0,Cat_4,B
466327.0,Male,Yes,31.0,Yes,Executive,5.0,Average,3.0,Cat_3,D
461735.0,Male,Yes,67.0,Yes,Lawyer,0.0,High,2.0,Cat_6,B
462073.0,Female,No,36.0,Yes,Entertainment,6.0,Low,1.0,Cat_6,C
466201.0,Male,Yes,42.0,Yes,Engineer,1.0,Average,5.0,Cat_4,B
459897.0,Female,Yes,55.0,Yes,Teacher,1.0,Low,2.0,Cat_6,D
460429.0,Female,No,32.0,Yes,Doctor,9.0,Low,1.0,Cat_6,C
465708.0,Female,Yes,60.0,Yes,Teacher,0.0,High,2.0,Cat_3,B
467178.0,Female,Yes,58.0,No,Entertainment,0.0,High,4.0,Cat_6,B
464130.0,Male,No,41.0,Yes,Athlete,1.0,Low,3.0,Cat_6,D
461822.0,Male,Yes,37.0,Yes,Artist,9.0,High,2.0,Cat_6,B
463465.0,Male,Yes,43.0,Yes,Executive,6.0,Average,3.0,Cat_6,B
465146.0,Male,Yes,58.0,Yes,Teacher,9.0,Low,1.0,Cat_6,B
463465.0,Male,Yes,43.0,Yes,Executive,6.0,Average,3.0,Cat_6,B
467745.0,Male,Yes,50.0,Yes,Lawyer,3.0,Average,4.0,Cat_6,C
463566.0,Female,Yes,41.0,Yes,Executive,1.0,Average,4.0,Cat_2,C
459547.0,Male,Yes,89.0,No,Artist,1.0,Low,2.0,Cat_6,D
462009.0,Male,Yes,32.0,Yes,Artist,8.0,High,2.0,Cat_2,B
462621.0,Female,Yes,49.0,No,Homemaker,5.0,Average,5.0,Cat_4,C
459053.0,Male,Yes,46.0,Yes,Engineer,0.0,High,4.0,Cat_6,B
465129.0,Female,No,61.0,Yes,Engineer,3.0,High,1.0,Cat_6,B
459309.0,Female,Yes,41.0,Yes,Teacher,9.0,High,2.0,Cat_2,B
460689.0,Male,Yes,41.0,Yes,Entertainment,6.0,High,2.0,Cat_3,B
467493.0,Male,Yes,47.0,Yes,Executive,1.0,High,4.0,Cat_6,B
461038.0,Female,Yes,,Yes,Doctor,1.0,High,5.0,Cat_3,C
459411.0,Male,Yes,74.0,No,Doctor,8.0,Low,1.0,Cat_6,B
461953.0,Male,Yes,33.0,No,Homemaker,11.0,High,,Cat_6,B
460209.0,Female,Yes,26.0,,Doctor,5.0,Low,7.0,Cat_6,C
459580.0,Female,No,51.0,Yes,Entertainment,6.0,Low,1.0,Cat_6,C
463747.0,Female,Yes,35.0,Yes,Homemaker,0.0,Average,2.0,Cat_6,D
465639.0,Male,Yes,36.0,Yes,Engineer,8.0,High,2.0,Cat_6,A
460486.0,Female,No,18.0,No,Executive,12.0,Low,3.0,Cat_3,B
466647.0,Female,Yes,41.0,Yes,Lawyer,7.0,High,2.0,Cat_6,B
466643.0,Female,Yes,68.0,Yes,Engineer,9.0,High,4.0,Cat_6,B
464687.0,Male,Yes,36.0,Yes,Executive,9.0,Average,5.0,Cat_4,A
467095.0,Male,Yes,41.0,No,Teacher,0.0,Average,2.0,Cat_7,C
459966.0,Female,No,31.0,Yes,Lawyer,1.0,Low,3.0,Cat_6,C
465762.0,Female,No,36.0,No,Doctor,9.0,Low,3.0,Cat_4,B
459692.0,Female,Yes,71.0,Yes,Lawyer,8.0,High,2.0,Cat_6,A
460493.0,Male,No,42.0,Yes,Doctor,2.0,Low,1.0,Cat_3,C
463211.0,Male,Yes,68.0,Yes,Entertainment,8.0,Low,1.0,Cat_5,B
464411.0,Male,No,30.0,Yes,Teacher,3.0,Low,6.0,Cat_7,C
460014.0,Female,No,66.0,No,Teacher,2.0,Low,3.0,Cat_6,C
462126.0,Male,Yes,20.0,No,Teacher,1.0,Average,4.0,Cat_7,C
466130.0,Female,No,27.0,No,Doctor,0.0,High,6.0,Cat_6,B
467950.0,Female,No,38.0,Yes,Lawyer,0.0,Low,2.0,Cat_6,C
459709.0,Female,Yes,47.0,Yes,Doctor,7.0,Average,4.0,Cat_6,B
462170.0,Male,Yes,73.0,No,Lawyer,0.0,High,3.0,Cat_6,B
466581.0,Female,Yes,43.0,Yes,Executive,9.0,High,4.0,Cat_6,A
461164.0,Female,No,39.0,Yes,Doctor,9.0,Low,1.0,Cat_3,B
464433.0,Male,No,33.0,Yes,Homemaker,1.0,Low,3.0,Cat_2,D
466938.0,Male,Yes,63.0,Yes,Teacher,8.0,Low,1.0,Cat_6,B
461799.0,Male,Yes,43.0,Yes,Homemaker,13.0,High,2.0,Cat_6,B
465044.0,Female,Yes,47.0,Yes,Doctor,0.0,Average,4.0,Cat_6,C
466643.0,Female,Yes,68.0,Yes,Teacher,9.0,High,4.0,Cat_6,A
459021.0,Male,Yes,45.0,Yes,Doctor,7.0,Low,2.0,Cat_2,B
460748.0,Female,Yes,60.0,No,Entertainment,0.0,High,2.0,Cat_3,B
460689.0,Male,Yes,41.0,Yes,Teacher,6.0,High,2.0,Cat_3,B
465868.0,Male,No,35.0,Yes,Teacher,6.0,Low,3.0,Cat_6,D
465415.0,Male,,31.0,No,Engineer,,Low,7.0,Cat_2,C
460767.0,Male,Yes,57.0,Yes,Executive,8.0,Average,5.0,Cat_2,A
459109.0,Male,Yes,49.0,Yes,Doctor,7.0,Average,4.0,Cat_6,B
465698.0,Male,No,39.0,Yes,Homemaker,8.0,Low,2.0,Cat_3,C
460902.0,Male,No,38.0,Yes,Doctor,1.0,Low,3.0,Cat_6,C
460499.0,Female,Yes,58.0,No,Homemaker,14.0,High,6.0,Cat_3,A
459585.0,Female,Yes,46.0,Yes,Executive,0.0,Average,4.0,Cat_6,C
460689.0,Male,Yes,41.0,Yes,Lawyer,6.0,High,2.0,Cat_3,B
465891.0,Female,Yes,28.0,Yes,Homemaker,8.0,Low,2.0,Cat_6,C
462155.0,Female,Yes,57.0,Yes,Teacher,1.0,High,3.0,Cat_6,B
465904.0,Male,No,37.0,Yes,Doctor,9.0,High,1.0,Cat_6,A
460142.0,Female,Yes,53.0,Yes,Teacher,0.0,Average,3.0,Cat_6,C
460594.0,Female,No,26.0,,Artist,9.0,Low,3.0,Cat_3,C
465392.0,Male,Yes,45.0,Yes,Homemaker,8.0,High,5.0,Cat_6,C
465120.0,Female,No,30.0,Yes,Lawyer,0.0,Low,4.0,Cat_6,D
459667.0,Female,Yes,50.0,Yes,Entertainment,1.0,High,6.0,Cat_5,C
462113.0,Female,Yes,60.0,Yes,Homemaker,8.0,High,6.0,Cat_6,A
459631.0,Male,Yes,53.0,Yes,Artist,1.0,High,3.0,Cat_6,C
461481.0,Female,Yes,58.0,Yes,Homemaker,9.0,Average,3.0,Cat_6,B
459804.0,Male,Yes,45.0,No,Lawyer,3.0,High,4.0,Cat_6,B
462601.0,Female,Yes,67.0,No,Homemaker,1.0,High,4.0,Cat_4,C
462459.0,Male,No,30.0,Yes,Executive,2.0,Low,2.0,Cat_6,D
459706.0,Male,Yes,60.0,Yes,Artist,1.0,Average,3.0,Cat_6,C
461465.0,Male,Yes,28.0,Yes,Teacher,9.0,Average,2.0,Cat_6,B
467273.0,Female,Yes,81.0,Yes,Doctor,7.0,High,2.0,Cat_6,B
466109.0,Male,Yes,51.0,Yes,Executive,1.0,Average,4.0,Cat_6,B
462113.0,Female,Yes,60.0,Yes,Engineer,8.0,High,6.0,Cat_6,A
460767.0,Male,Yes,57.0,Yes,Artist,8.0,Average,5.0,Cat_2,B
461323.0,Female,Yes,41.0,Yes,Engineer,6.0,Average,2.0,Cat_6,B
463934.0,Female,Yes,43.0,Yes,Homemaker,3.0,Average,2.0,Cat_6,D
467682.0,Male,Yes,35.0,Yes,Engineer,9.0,Average,4.0,Cat_6,B
459920.0,Female,Yes,51.0,Yes,Homemaker,6.0,High,2.0,Cat_4,B
466056.0,Female,No,36.0,Yes,Homemaker,1.0,Low,1.0,Cat_4,D
465215.0,Male,Yes,39.0,Yes,Doctor,9.0,High,5.0,Cat_2,A
465296.0,Female,Yes,76.0,Yes,Lawyer,5.0,High,3.0,Cat_6,B
462765.0,Female,Yes,50.0,Yes,Engineer,1.0,High,8.0,Cat_6,B
464094.0,Male,Yes,53.0,Yes,Engineer,1.0,High,4.0,Cat_6,B
466291.0,Male,No,22.0,,Engineer,1.0,High,3.0,Cat_4,B
462182.0,Male,Yes,88.0,No,Engineer,7.0,Low,1.0,Cat_6,B
465092.0,Male,Yes,65.0,Yes,Executive,0.0,High,2.0,Cat_6,B
459508.0,Male,No,23.0,No,Homemaker,1.0,Low,3.0,Cat_6,D
464699.0,Male,No,29.0,No,Teacher,1.0,Low,5.0,Cat_4,C
465196.0,Female,No,33.0,Yes,Lawyer,3.0,High,2.0,Cat_4,B
463181.0,Male,Yes,48.0,Yes,Engineer,5.0,Average,3.0,Cat_5,C
462009.0,Female,Yes,32.0,Yes,Homemaker,8.0,High,2.0,,B
466176.0,Male,No,38.0,Yes,Entertainment,8.0,High,1.0,Cat_2,B
462938.0,Female,No,50.0,Yes,Entertainment,6.0,Low,1.0,Cat_6,C
466025.0,Female,No,50.0,No,Homemaker,1.0,Low,1.0,Cat_3,D
459563.0,Male,Yes,72.0,Yes,Engineer,7.0,Low,2.0,Cat_6,C
466735.0,Male,No,18.0,No,Artist,,Low,3.0,Cat_6,D
463879.0,Male,Yes,45.0,Yes,Lawyer,0.0,High,2.0,Cat_6,B
460168.0,Male,,86.0,Yes,Engineer,0.0,High,2.0,Cat_2,B
459284.0,Female,Yes,70.0,Yes,Doctor,1.0,High,2.0,Cat_6,B
463722.0,Male,Yes,55.0,Yes,Executive,9.0,High,2.0,Cat_6,A
463882.0,Female,Yes,43.0,Yes,Engineer,1.0,Low,1.0,Cat_1,C
461057.0,Male,Yes,46.0,Yes,Doctor,,High,4.0,Cat_3,B
464796.0,Male,Yes,43.0,No,Lawyer,3.0,High,4.0,Cat_4,B
460791.0,Female,No,27.0,Yes,Engineer,9.0,Low,7.0,Cat_3,B
465734.0,Male,Yes,40.0,Yes,Executive,0.0,Low,3.0,Cat_1,C
463663.0,Male,No,37.0,Yes,Artist,0.0,Low,2.0,Cat_6,D
461489.0,Female,Yes,70.0,,Doctor,1.0,High,2.0,Cat_6,B
462073.0,Female,No,36.0,Yes,Entertainment,6.0,Low,1.0,Cat_6,D
459662.0,Male,Yes,51.0,Yes,Teacher,0.0,High,5.0,Cat_3,C
464141.0,Male,Yes,32.0,Yes,Executive,9.0,High,2.0,Cat_4,A
462773.0,Male,Yes,40.0,Yes,Doctor,4.0,Average,5.0,Cat_6,B
462422.0,Male,Yes,71.0,,Lawyer,1.0,Low,2.0,Cat_6,C
464980.0,Female,Yes,60.0,No,Executive,1.0,High,2.0,Cat_4,C
461838.0,Male,Yes,49.0,Yes,Homemaker,0.0,High,1.0,Cat_6,D
465067.0,Male,Yes,62.0,Yes,Teacher,8.0,High,2.0,Cat_6,A
460674.0,Female,No,31.0,Yes,Teacher,0.0,Low,3.0,Cat_3,D
465113.0,Male,Yes,66.0,Yes,Homemaker,1.0,High,2.0,Cat_4,C
459317.0,Male,Yes,52.0,Yes,Artist,1.0,High,4.0,Cat_6,C
465580.0,Male,Yes,39.0,No,Homemaker,6.0,Average,2.0,Cat_4,D
460651.0,Male,No,32.0,No,Artist,8.0,Low,3.0,Cat_4,C
464703.0,Male,Yes,,No,Executive,1.0,High,5.0,Cat_4,B
459309.0,Female,Yes,41.0,Yes,Teacher,9.0,High,2.0,Cat_2,B
467746.0,Male,Yes,50.0,Yes,Engineer,0.0,High,3.0,Cat_6,B
466715.0,Male,Yes,72.0,Yes,Doctor,1.0,High,4.0,Cat_6,B
460042.0,Male,No,32.0,Yes,Doctor,8.0,Low,1.0,Cat_6,B
466321.0,Male,Yes,41.0,Yes,Homemaker,2.0,High,2.0,Cat_4,C
464577.0,Female,Yes,28.0,Yes,Athlete,10.0,High,2.0,Cat_6,B
463791.0,Female,No,28.0,Yes,Doctor,7.0,Low,1.0,Cat_6,C
465030.0,Male,Yes,35.0,Yes,Lawyer,9.0,High,4.0,Cat_6,A
459918.0,Female,No,43.0,Yes,Doctor,1.0,Low,1.0,Cat_3,C
467751.0,Male,Yes,48.0,Yes,Teacher,1.0,Average,3.0,Cat_6,C
463859.0,Male,Yes,39.0,Yes,Entertainment,6.0,Average,2.0,Cat_6,B
460879.0,Female,No,27.0,Yes,Lawyer,0.0,Low,4.0,Cat_6,C
463228.0,Female,Yes,56.0,Yes,Lawyer,0.0,Average,5.0,Cat_6,B
460931.0,Male,Yes,40.0,Yes,Engineer,2.0,Average,5.0,Cat_6,B
466647.0,Female,Yes,41.0,Yes,Lawyer,7.0,High,2.0,Cat_6,A
465437.0,Male,Yes,48.0,Yes,Engineer,2.0,High,5.0,Cat_6,B
462187.0,Female,No,50.0,Yes,Teacher,4.0,High,1.0,Cat_6,D
465335.0,Male,Yes,61.0,No,Engineer,1.0,Average,2.0,Cat_7,B
459737.0,Female,Yes,81.0,Yes,Artist,8.0,High,2.0,Cat_6,B
465353.0,Male,Yes,73.0,Yes,Doctor,1.0,High,2.0,Cat_6,B
460397.0,Female,No,59.0,Yes,Artist,1.0,Low,1.0,Cat_6,D
466181.0,Male,,46.0,Yes,Athlete,1.0,High,2.0,Cat_3,D
461685.0,Female,No,30.0,Yes,Doctor,4.0,High,4.0,Cat_6,C
462688.0,Female,Yes,29.0,Yes,Lawyer,8.0,Low,3.0,Cat_3,B
465424.0,Male,No,38.0,Yes,Engineer,1.0,High,3.0,Cat_6,B
464916.0,Female,Yes,31.0,Yes,Artist,9.0,High,2.0,Cat_4,B
464726.0,Male,Yes,33.0,Yes,Engineer,11.0,High,9.0,Cat_4,B
459980.0,Male,No,40.0,No,Artist,1.0,Low,2.0,Cat_6,D
463444.0,Male,Yes,61.0,Yes,Engineer,1.0,High,2.0,Cat_6,B
465344.0,Female,Yes,71.0,Yes,Doctor,0.0,High,2.0,Cat_6,B
460891.0,Male,Yes,36.0,No,Artist,2.0,Average,4.0,Cat_3,C
464192.0,Female,Yes,61.0,No,Executive,0.0,High,3.0,Cat_6,B
460123.0,Female,Yes,33.0,Yes,Artist,9.0,Low,2.0,Cat_6,D
467273.0,Female,Yes,81.0,Yes,Doctor,7.0,High,2.0,Cat_6,A
466581.0,Female,Yes,43.0,Yes,Artist,9.0,High,4.0,Cat_6,B
466865.0,Female,No,32.0,No,Executive,9.0,Low,5.0,Cat_3,B
467383.0,Female,Yes,77.0,Yes,Doctor,0.0,High,2.0,Cat_6,C
459030.0,Male,,46.0,No,Homemaker,6.0,High,6.0,Cat_6,B
464709.0,Male,Yes,40.0,No,Teacher,8.0,High,5.0,Cat_4,A
460703.0,Female,Yes,30.0,Yes,Doctor,8.0,Average,5.0,Cat_4,A
459019.0,Male,Yes,45.0,No,Homemaker,10.0,High,3.0,Cat_6,B
463233.0,Male,Yes,50.0,No,Teacher,0.0,Average,5.0,Cat_6,C
461018.0,Male,No,25.0,No,Engineer,0.0,Low,3.0,Cat_3,D
464140.0,Female,Yes,83.0,Yes,Executive,1.0,High,2.0,Cat_6,B
464509.0,Male,Yes,53.0,Yes,Artist,0.0,High,4.0,Cat_6,C
460947.0,Male,Yes,45.0,Yes,Engineer,7.0,High,5.0,Cat_6,A
463376.0,Female,,45.0,Yes,Doctor,7.0,High,2.0,Cat_6,A
465096.0,Male,Yes,86.0,No,Artist,13.0,Low,1.0,Cat_6,C
464449.0,Female,No,67.0,Yes,Homemaker,0.0,Low,,Cat_6,C
459814.0,Female,No,49.0,Yes,Engineer,0.0,Low,3.0,Cat_2,C
465970.0,Female,Yes,38.0,No,Artist,1.0,Low,1.0,Cat_6,D
462243.0,Male,Yes,43.0,No,Lawyer,1.0,High,4.0,Cat_6,C
466308.0,Male,No,33.0,Yes,Athlete,0.0,Low,2.0,Cat_6,D
467942.0,Female,Yes,41.0,Yes,Artist,1.0,High,4.0,Cat_2,C
466116.0,Male,Yes,62.0,Yes,Teacher,0.0,Average,9.0,Cat_3,B
461822.0,Male,Yes,37.0,Yes,Athlete,9.0,High,2.0,Cat_6,B
466391.0,Female,Yes,58.0,Yes,Engineer,0.0,Average,3.0,Cat_6,B
466695.0,Female,Yes,31.0,Yes,Teacher,1.0,Low,1.0,Cat_6,D
464687.0,Male,Yes,36.0,Yes,Doctor,9.0,Average,5.0,Cat_4,A
,Male,Yes,33.0,Yes,Teacher,0.0,Average,2.0,Cat_6,D
465533.0,Female,Yes,50.0,Yes,Athlete,0.0,High,4.0,Cat_2,C
467445.0,Male,Yes,31.0,No,Engineer,8.0,Low,2.0,Cat_2,B
464373.0,Female,No,46.0,Yes,Lawyer,0.0,Low,2.0,Cat_6,D
